Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / Alternate Text,german,spanish,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese
evArmorGathererImpBundle,items,Item,,,Gatherer Improved Armor Set,Bundle display name,,,,,,,,,«Улучшенный» Сет брони добытчика,,,
evArmorGathererImpBundleDesc,items,Item,,,"Open to receive a full 4-piece Quality 6 Gatherer [8692FF]«Improved»[-] armor set (helmet, outfit, gloves, boots).",Bundle description,,,,,,,,,"Содержит полный сет [8692FF]«Улучшенной»[-] брони Добытчика (Q6): шлем, куртка, перчатки, ботинки.",,,
evArmorNomadImpBundle,items,Item,,,Nomad Improved Armor Set,Bundle display name,,,,,,,,,«Улучшенный» Сет брони кочевника,,,
evArmorNomadImpBundleDesc,items,Item,,,"Open to receive a full 4-piece Quality 6 Nomad [8692FF]«Improved»[-] armor set (helmet, outfit, gloves, boots).",Bundle description,,,,,,,,,"Содержит полный сет [8692FF]«Улучшенной»[-] брони Кочевника (Q6): шлем, куртка, перчатки, ботинки.",,,
evArmorNerdImpBundle,items,Item,,,Nerd Improved Armor Set,Bundle display name,,,,,,,,,«Улучшенный» Сет брони ботаника,,,
evArmorNerdImpBundleDesc,items,Item,,,"Open to receive a full 4-piece Quality 6 Nerd [8692FF]«Improved»[-] armor set (helmet, outfit, gloves, boots).",Bundle description,,,,,,,,,"Содержит полный сет [8692FF]«Улучшенной»[-] брони Ботаника (Q6): шлем, куртка, перчатки, ботинки.",,,
evArmorRaiderImpBundle,items,Item,,,Raider Improved Armor Set,Bundle display name,,,,,,,,,«Улучшенный» Сет брони налётчика,,,
evArmorRaiderImpBundleDesc,items,Item,,,"Open to receive a full 4-piece Quality 6 Raider [8692FF]«Improved»[-] armor set (helmet, outfit, gloves, boots).",Bundle description,,,,,,,,,"Содержит полный сет [8692FF]«Улучшенной»[-] брони Налётчика (Q6): шлем, куртка, перчатки, ботинки.",,,
evArmorRescuerBundle,items,Item,,,[FFB800]Rescuer[-] Legendary Armor Set,Bundle display name,,,,,,,,,[FFB800]«Спасатель»[-] Легендарный сет брони,,,
evArmorRescuerBundleDesc,items,Item,,,"Open to receive a full 4-piece Quality 6 [FFB800]Rescuer[-] legendary armor set (helmet, outfit, gloves, boots) with the full-set bonus.",Bundle description,,,,,,,,,"Содержит полный легендарный сет [FFB800]«Спасатель»[-] (Q6): шлем, куртка, перчатки, ботинки — с бонусом за полный комплект.",,,
evArmorPredatorBundle,items,Item,,,[FFB800]Predator[-] Legendary Armor Set,Bundle display name,,,,,,,,,[FFB800]«Хищник»[-] Легендарный сет брони,,,
evArmorPredatorBundleDesc,items,Item,,,"Open to receive a full 4-piece Quality 6 [FFB800]Predator[-] legendary armor set (helmet, outfit, gloves, boots) with the full-set bonus.",Bundle description,,,,,,,,,"Содержит полный легендарный сет [FFB800]«Хищник»[-] (Q6): шлем, куртка, перчатки, ботинки — с бонусом за полный комплект.",,,
evArmorPlundererBundle,items,Item,,,[FFB800]Plunderer[-] Legendary Armor Set,Bundle display name,,,,,,,,,[FFB800]«Расхититель»[-] Легендарный сет брони,,,
evArmorPlundererBundleDesc,items,Item,,,"Open to receive a full 4-piece Quality 6 [FFB800]Plunderer[-] legendary armor set (helmet, outfit, gloves, boots) with the full-set bonus.",Bundle description,,,,,,,,,"Содержит полный легендарный сет [FFB800]«Расхититель»[-] (Q6): шлем, куртка, перчатки, ботинки — с бонусом за полный комплект.",,,
evArmorSonnyBundle,items,Item,,,[FFB800]Sonny[-] Legendary Armor Set,Bundle display name,,,,,,,,,[FFB800]«Сонни»[-] Легендарный сет брони,,,
evArmorSonnyBundleDesc,items,Item,,,"Open to receive a full 4-piece Quality 6 [FFB800]Sonny[-] legendary armor set (helmet, outfit, gloves, boots) with the full-set bonus.",Bundle description,,,,,,,,,"Содержит полный легендарный сет [FFB800]«Сонни»[-] (Q6): шлем, куртка, перчатки, ботинки — с бонусом за полный комплект.",,,
evArmorMausBundle,items,Item,,,[FFB800]Maus[-] Legendary Armor Set,Bundle display name,,,,,,,,,[FFB800]«Маус»[-] Легендарный сет брони,,,
evArmorMausBundleDesc,items,Item,,,"Open to receive a full 4-piece Quality 6 [FFB800]Maus[-] legendary armor set (helmet, outfit, gloves, boots) with the full-set bonus.",Bundle description,,,,,,,,,"Содержит полный легендарный сет [FFB800]«Маус»[-] (Q6): шлем, куртка, перчатки, ботинки — с бонусом за полный комплект.",,,
evGunM60ImpBundle,items,Item,,,[8692FF]«Improved»[-] M60 Machine Gun,Bundle display name,,,,,,,,,[8692FF]«Улучшенный»[-] Пулемёт M60,,,
evGunM60ImpBundleDesc,items,Item,,,Open to receive a Quality 6 [8692FF]«Improved»[-] M60 Machine Gun.,Bundle description,,,,,,,,,Содержит [8692FF]«Улучшенный»[-] Пулемёт M60 (Q6).,,,
evGunAutoShotgunImpBundle,items,Item,,,[8692FF]«Improved»[-] Auto Shotgun,Bundle display name,,,,,,,,,[8692FF]«Улучшенный»[-] Автодробовик,,,
evGunAutoShotgunImpBundleDesc,items,Item,,,Open to receive a Quality 6 [8692FF]«Improved»[-] Auto Shotgun.,Bundle description,,,,,,,,,Содержит [8692FF]«Улучшенный»[-] Автодробовик (Q6).,,,
evGunSniperRifleImpBundle,items,Item,,,[8692FF]«Improved»[-] Sniper Rifle,Bundle display name,,,,,,,,,[8692FF]«Улучшенная»[-] Снайперская винтовка,,,
evGunSniperRifleImpBundleDesc,items,Item,,,Open to receive a Quality 6 [8692FF]«Improved»[-] Sniper Rifle.,Bundle description,,,,,,,,,Содержит [8692FF]«Улучшенную»[-] Снайперскую винтовку (Q6).,,,
evGunSMG5ImpBundle,items,Item,,,[8692FF]«Improved»[-] SMG-5,Bundle display name,,,,,,,,,[8692FF]«Улучшенный»[-] SMG-5,,,
evGunSMG5ImpBundleDesc,items,Item,,,Open to receive a Quality 6 [8692FF]«Improved»[-] SMG-5.,Bundle description,,,,,,,,,Содержит [8692FF]«Улучшенный»[-] SMG-5 (Q6).,,,
evGunCompoundBowImpBundle,items,Item,,,[8692FF]«Improved»[-] Compound Bow,Bundle display name,,,,,,,,,[8692FF]«Улучшенный»[-] Составной лук,,,
evGunCompoundBowImpBundleDesc,items,Item,,,Open to receive a Quality 6 [8692FF]«Improved»[-] Compound Bow.,Bundle description,,,,,,,,,Содержит [8692FF]«Улучшенный»[-] Составной лук (Q6).,,,
evGunCompoundCrossbowImpBundle,items,Item,,,[8692FF]«Improved»[-] Compound Crossbow,Bundle display name,,,,,,,,,[8692FF]«Улучшенный»[-] Составной арбалет,,,
evGunCompoundCrossbowImpBundleDesc,items,Item,,,Open to receive a Quality 6 [8692FF]«Improved»[-] Compound Crossbow.,Bundle description,,,,,,,,,Содержит [8692FF]«Улучшенный»[-] Составной арбалет (Q6).,,,
evMeleeSteelSpearImpBundle,items,Item,,,[8692FF]«Improved»[-] Steel Spear,Bundle display name,,,,,,,,,[8692FF]«Улучшенное»[-] Стальное копьё,,,
evMeleeSteelSpearImpBundleDesc,items,Item,,,Open to receive a Quality 6 [8692FF]«Improved»[-] Steel Spear.,Bundle description,,,,,,,,,Содержит [8692FF]«Улучшенное»[-] Стальное копьё (Q6).,,,
evMeleeSteelClubImpBundle,items,Item,,,[8692FF]«Improved»[-] Steel Club,Bundle display name,,,,,,,,,[8692FF]«Улучшенная»[-] Стальная дубина,,,
evMeleeSteelClubImpBundleDesc,items,Item,,,Open to receive a Quality 6 [8692FF]«Improved»[-] Steel Club.,Bundle description,,,,,,,,,Содержит [8692FF]«Улучшенную»[-] Стальную дубину (Q6).,,,
evMeleeSteelSledgehammerImpBundle,items,Item,,,[8692FF]«Improved»[-] Steel Sledgehammer,Bundle display name,,,,,,,,,[8692FF]«Улучшенная»[-] Стальная кувалда,,,
evMeleeSteelSledgehammerImpBundleDesc,items,Item,,,Open to receive a Quality 6 [8692FF]«Improved»[-] Steel Sledgehammer.,Bundle description,,,,,,,,,Содержит [8692FF]«Улучшенную»[-] Стальную кувалду (Q6).,,,
evMeleeSteelKnucklesImpBundle,items,Item,,,[8692FF]«Improved»[-] Steel Knuckles,Bundle display name,,,,,,,,,[8692FF]«Улучшенный»[-] Стальной кастет,,,
evMeleeSteelKnucklesImpBundleDesc,items,Item,,,Open to receive a Quality 6 [8692FF]«Improved»[-] Steel Knuckles.,Bundle description,,,,,,,,,Содержит [8692FF]«Улучшенный»[-] Стальной кастет (Q6).,,,
evMeleeMacheteImpBundle,items,Item,,,[8692FF]«Improved»[-] Machete,Bundle display name,,,,,,,,,[8692FF]«Улучшенное»[-] Мачете,,,
evMeleeMacheteImpBundleDesc,items,Item,,,Open to receive a Quality 6 [8692FF]«Improved»[-] Machete.,Bundle description,,,,,,,,,Содержит [8692FF]«Улучшенное»[-] Мачете (Q6).,,,
evToolChainsawImpBundle,items,Item,,,[8692FF]«Improved»[-] Chainsaw,Bundle display name,,,,,,,,,[8692FF]«Улучшенная»[-] Бензопила,,,
evToolChainsawImpBundleDesc,items,Item,,,Open to receive a Quality 6 [8692FF]«Improved»[-] Chainsaw.,Bundle description,,,,,,,,,Содержит [8692FF]«Улучшенную»[-] Бензопилу (Q6).,,,
evToolAugerImpBundle,items,Item,,,[8692FF]«Improved»[-] Auger,Bundle display name,,,,,,,,,[8692FF]«Улучшенный»[-] Бур,,,
evToolAugerImpBundleDesc,items,Item,,,Open to receive a Quality 6 [8692FF]«Improved»[-] Auger.,Bundle description,,,,,,,,,Содержит [8692FF]«Улучшенный»[-] Бур (Q6).,,,
evToolImpactDriverImpBundle,items,Item,,,[8692FF]«Improved»[-] Impact Driver,Bundle display name,,,,,,,,,[8692FF]«Улучшенный»[-] Шуруповёрт,,,
evToolImpactDriverImpBundleDesc,items,Item,,,Open to receive a Quality 6 [8692FF]«Improved»[-] Impact Driver.,Bundle description,,,,,,,,,Содержит [8692FF]«Улучшенный»[-] Шуруповёрт (Q6).,,,
evToolNailgunImpBundle,items,Item,,,[8692FF]«Improved»[-] Nailgun,Bundle display name,,,,,,,,,[8692FF]«Улучшенный»[-] Гвоздезабивной молоток,,,
evToolNailgunImpBundleDesc,items,Item,,,Open to receive a Quality 6 [8692FF]«Improved»[-] Nailgun.,Bundle description,,,,,,,,,Содержит [8692FF]«Улучшенный»[-] Гвоздезабивной молоток (Q6).,,,
evGunJunkSledgeImpBundle,items,Item,,,[8692FF]«Improved»[-] Junk Sledge Drone,Bundle display name,,,,,,,,,[8692FF]«Улучшенный»[-] Дрон-молотобоец,,,
evGunJunkSledgeImpBundleDesc,items,Item,,,Open to receive a Quality 6 [8692FF]«Improved»[-] Junk Sledge Drone.,Bundle description,,,,,,,,,Содержит [8692FF]«Улучшенный»[-] Дрон-молотобоец (Q6).,,,
evGunJunkTurretImpBundle,items,Item,,,[8692FF]«Improved»[-] Junk Turret Drone,Bundle display name,,,,,,,,,[8692FF]«Улучшенная»[-] Дрон-турель,,,
evGunJunkTurretImpBundleDesc,items,Item,,,Open to receive a Quality 6 [8692FF]«Improved»[-] Junk Turret Drone.,Bundle description,,,,,,,,,Содержит [8692FF]«Улучшенную»[-] Дрон-турель (Q6).,,,
evAmmo9mmDUBundle,items,Item,,,9mm [5AFF75]Depleted Uranium[-] Ammo Crate (x1500),Bundle display name,,,,,,,,,Ящик патронов 9мм [5AFF75](Обеднённый уран)[-] (x1500),,,
evAmmo9mmDUBundleDesc,items,Item,,,Open to receive 1500 rounds of 9mm [5AFF75]Depleted Uranium[-] ammunition.,Bundle description,,,,,,,,,Содержит 1500 патронов 9мм [5AFF75](Обеднённый уран)[-].,,,
evAmmo762DUBundle,items,Item,,,7.62mm [5AFF75]Depleted Uranium[-] Ammo Crate (x1000),Bundle display name,,,,,,,,,Ящик патронов 7.62мм [5AFF75](Обеднённый уран)[-] (x1000),,,
evAmmo762DUBundleDesc,items,Item,,,Open to receive 1000 rounds of 7.62mm [5AFF75]Depleted Uranium[-] ammunition.,Bundle description,,,,,,,,,Содержит 1000 патронов 7.62мм [5AFF75](Обеднённый уран)[-].,,,
evAmmo44MagnumDUBundle,items,Item,,,.44 Magnum [5AFF75]Depleted Uranium[-] Ammo Crate (x1250),Bundle display name,,,,,,,,,Ящик патронов .44 Magnum [5AFF75](Обеднённый уран)[-] (x1250),,,
evAmmo44MagnumDUBundleDesc,items,Item,,,Open to receive 1250 rounds of .44 Magnum [5AFF75]Depleted Uranium[-] ammunition.,Bundle description,,,,,,,,,Содержит 1250 патронов .44 Magnum [5AFF75](Обеднённый уран)[-].,,,
evAmmoShotgunDUBundle,items,Item,,,Shotgun [5AFF75]Depleted Uranium[-] Ammo Crate (x1000),Bundle display name,,,,,,,,,Ящик патронов для дробовика [5AFF75](Обеднённый уран)[-] (x1000),,,
evAmmoShotgunDUBundleDesc,items,Item,,,Open to receive 1000 shotgun shells of [5AFF75]Depleted Uranium[-] ammunition.,Bundle description,,,,,,,,,Содержит 1000 патронов для дробовика [5AFF75](Обеднённый уран)[-].,,,
evAmmoJunkTurretDUBundle,items,Item,,,Junk Turret [5AFF75]Depleted Uranium[-] Ammo Crate (x1000),Bundle display name,,,,,,,,,Ящик боеприпасов для турели [5AFF75](Обеднённый уран)[-] (x1000),,,
evAmmoJunkTurretDUBundleDesc,items,Item,,,Open to receive 1000 rounds of Junk Turret [5AFF75]Depleted Uranium[-] ammunition.,Bundle description,,,,,,,,,Содержит 1000 боеприпасов для турели [5AFF75](Обеднённый уран)[-].,,,

evModGunMagazineExtenderUniqueBundle,items,Item,,,[FFB800]«Unique»[-] Magazine Extender Mod,Bundle display name,,,,,,,,,[FFB800]«Уникальный»[-] Мод «Увеличенный магазин»,,,
evModGunMagazineExtenderUniqueBundleDesc,items,Item,,,Open to receive one Quality 6 [FFB800]«Unique»[-] Magazine Extender Mod.,Bundle description,,,,,,,,,Содержит [FFB800]«Уникальный»[-] Мод «Увеличенный магазин» (Q6).,,,
evModGunDrumMagazineExtenderUniqueBundle,items,Item,,,[FFB800]«Unique»[-] Drum Magazine Mod,Bundle display name,,,,,,,,,[FFB800]«Уникальный»[-] Мод «Барабанный магазин»,,,
evModGunDrumMagazineExtenderUniqueBundleDesc,items,Item,,,Open to receive one Quality 6 [FFB800]«Unique»[-] Drum Magazine Mod.,Bundle description,,,,,,,,,Содержит [FFB800]«Уникальный»[-] Мод «Барабанный магазин» (Q6).,,,
evModGunMeleeRadRemoverUniqueBundle,items,Item,,,[FFB800]«Unique»[-] Rad Remover Mod,Bundle display name,,,,,,,,,[FFB800]«Уникальный»[-] Мод «Подавитель радиации»,,,
evModGunMeleeRadRemoverUniqueBundleDesc,items,Item,,,Open to receive one Quality 6 [FFB800]«Unique»[-] Rad Remover Mod.,Bundle description,,,,,,,,,Содержит [FFB800]«Уникальный»[-] Мод «Подавитель радиации» (Q6).,,,
evModGunCrippleEmUniqueBundle,items,Item,,,[FFB800]«Unique»[-] Cripple 'Em Mod,Bundle display name,,,,,,,,,[FFB800]«Уникальный»[-] Мод «Разрывные пули»,,,
evModGunCrippleEmUniqueBundleDesc,items,Item,,,Open to receive one Quality 6 [FFB800]«Unique»[-] Cripple 'Em Mod.,Bundle description,,,,,,,,,Содержит [FFB800]«Уникальный»[-] Мод «Разрывные пули» (Q6).,,,
evModGunForegripUniqueBundle,items,Item,,,[FFB800]«Unique»[-] Fore Grip Mod,Bundle display name,,,,,,,,,[FFB800]«Уникальный»[-] Мод «Передняя рукоятка»,,,
evModGunForegripUniqueBundleDesc,items,Item,,,Open to receive one Quality 6 [FFB800]«Unique»[-] Fore Grip Mod.,Bundle description,,,,,,,,,Содержит [FFB800]«Уникальный»[-] Мод «Передняя рукоятка» (Q6).,,,
evModGunBipodUniqueBundle,items,Item,,,[FFB800]«Unique»[-] Bipod Mod,Bundle display name,,,,,,,,,[FFB800]«Уникальный»[-] Мод «Сошка»,,,
evModGunBipodUniqueBundleDesc,items,Item,,,Open to receive one Quality 6 [FFB800]«Unique»[-] Bipod Mod.,Bundle description,,,,,,,,,Содержит [FFB800]«Уникальный»[-] Мод «Сошка» (Q6).,,,
evModGunSoundSuppressorSilencerUniqueBundle,items,Item,,,[FFB800]«Unique»[-] Silencer Mod,Bundle display name,,,,,,,,,[FFB800]«Уникальный»[-] Мод «Глушитель»,,,
evModGunSoundSuppressorSilencerUniqueBundleDesc,items,Item,,,Open to receive one Quality 6 [FFB800]«Unique»[-] Silencer Mod.,Bundle description,,,,,,,,,Содержит [FFB800]«Уникальный»[-] Мод «Глушитель» (Q6).,,,
evModGunBoosterUniqueBundle,items,Item,,,[FFB800]«Unique»[-] Gun Booster Mod,Bundle display name,,,,,,,,,[FFB800]«Уникальный»[-] Мод «Бустер оружия»,,,
evModGunBoosterUniqueBundleDesc,items,Item,,,Open to receive one Quality 6 [FFB800]«Unique»[-] Gun Booster Mod.,Bundle description,,,,,,,,,Содержит [FFB800]«Уникальный»[-] Мод «Бустер оружия» (Q6).,,,
evModGunDamageAccumulatorUniqueBundle,items,Item,,,[FFB800]«Unique»[-] Damage Accumulator Mod,Bundle display name,,,,,,,,,[FFB800]«Уникальный»[-] Мод «Накопитель урона»,,,
evModGunDamageAccumulatorUniqueBundleDesc,items,Item,,,Open to receive one Quality 6 [FFB800]«Unique»[-] Damage Accumulator Mod.,Bundle description,,,,,,,,,Содержит [FFB800]«Уникальный»[-] Мод «Накопитель урона» (Q6).,,,
evModGunRiflePartsUniqueBundle,items,Item,,,[FFB800]«Unique»[-] Rifle Parts Mod,Bundle display name,,,,,,,,,[FFB800]«Уникальный»[-] Мод «Части винтовки»,,,
evModGunRiflePartsUniqueBundleDesc,items,Item,,,Open to receive one Quality 6 [FFB800]«Unique»[-] Rifle Parts Mod.,Bundle description,,,,,,,,,Содержит [FFB800]«Уникальный»[-] Мод «Части винтовки» (Q6).,,,
evModGunPistolPartsUniqueBundle,items,Item,,,[FFB800]«Unique»[-] Pistols Parts Mod,Bundle display name,,,,,,,,,[FFB800]«Уникальный»[-] Мод «Части пистолета»,,,
evModGunPistolPartsUniqueBundleDesc,items,Item,,,Open to receive one Quality 6 [FFB800]«Unique»[-] Pistols Parts Mod.,Bundle description,,,,,,,,,Содержит [FFB800]«Уникальный»[-] Мод «Части пистолета» (Q6).,,,
evModGunShotgunPartsUniqueBundle,items,Item,,,[FFB800]«Unique»[-] Shotgun Parts Mod,Bundle display name,,,,,,,,,[FFB800]«Уникальный»[-] Мод «Части дробовика»,,,
evModGunShotgunPartsUniqueBundleDesc,items,Item,,,Open to receive one Quality 6 [FFB800]«Unique»[-] Shotgun Parts Mod.,Bundle description,,,,,,,,,Содержит [FFB800]«Уникальный»[-] Мод «Части дробовика» (Q6).,,,
evModGunM60PartsUniqueBundle,items,Item,,,[FFB800]«Unique»[-] Machine Gun Parts Mod,Bundle display name,,,,,,,,,[FFB800]«Уникальный»[-] Мод «Части пулемета»,,,
evModGunM60PartsUniqueBundleDesc,items,Item,,,Open to receive one Quality 6 [FFB800]«Unique»[-] Machine Gun Parts Mod.,Bundle description,,,,,,,,,Содержит [FFB800]«Уникальный»[-] Мод «Части пулемета» (Q6).,,,
evModTurretPartsUniqueBundle,items,Item,,,[FFB800]«Unique»[-] Turret Parts Mod,Bundle display name,,,,,,,,,[FFB800]«Уникальный»[-] Мод «Части турели»,,,
evModTurretPartsUniqueBundleDesc,items,Item,,,Open to receive one Quality 6 [FFB800]«Unique»[-] Turret Parts Mod.,Bundle description,,,,,,,,,Содержит [FFB800]«Уникальный»[-] Мод «Части турели» (Q6).,,,
evModMeleeDimondPartsHeavyUniqueBundle,items,Item,,,[FFB800]«Unique»[-] Diamond Reinforcement Mod (Heavy),Bundle display name,,,,,,,,,[FFB800]«Уникальный»[-] Мод «Алмазное армирование» (Тяжелое),,,
evModMeleeDimondPartsHeavyUniqueBundleDesc,items,Item,,,Open to receive one Quality 6 [FFB800]«Unique»[-] Diamond Reinforcement Mod (Heavy).,Bundle description,,,,,,,,,Содержит [FFB800]«Уникальный»[-] Мод «Алмазное армирование» (Тяжелое) (Q6).,,,
evModMeleeDimondPartsLightUniqueBundle,items,Item,,,[FFB800]«Unique»[-] Diamond Reinforcement Mod (Light),Bundle display name,,,,,,,,,[FFB800]«Уникальный»[-] Мод «Алмазное армирование» (Легкое),,,
evModMeleeDimondPartsLightUniqueBundleDesc,items,Item,,,Open to receive one Quality 6 [FFB800]«Unique»[-] Diamond Reinforcement Mod (Light).,Bundle description,,,,,,,,,Содержит [FFB800]«Уникальный»[-] Мод «Алмазное армирование» (Легкое) (Q6).,,,
evModMeleeErgonomicGripUniqueBundle,items,Item,,,[FFB800]«Unique»[-] Comfortable Handle Mod,Bundle display name,,,,,,,,,[FFB800]«Уникальный»[-] Мод «Удобная рукоять»,,,
evModMeleeErgonomicGripUniqueBundleDesc,items,Item,,,Open to receive one Quality 6 [FFB800]«Unique»[-] Comfortable Handle Mod.,Bundle description,,,,,,,,,Содержит [FFB800]«Уникальный»[-] Мод «Удобная рукоять» (Q6).,,,
evModMeleeTheHunterUniqueBundle,items,Item,,,[FFB800]«Unique»[-] Hunter Mod,Bundle display name,,,,,,,,,[FFB800]«Уникальный»[-] Мод «Охотник»,,,
evModMeleeTheHunterUniqueBundleDesc,items,Item,,,Open to receive one Quality 6 [FFB800]«Unique»[-] Hunter Mod.,Bundle description,,,,,,,,,Содержит [FFB800]«Уникальный»[-] Мод «Охотник» (Q6).,,,
evModMeleeTerribleSpikesUniqueBundle,items,Item,,,[FFB800]«Unique»[-] Terrible Spikes Mod,Bundle display name,,,,,,,,,[FFB800]«Уникальный»[-] Мод «Ужасные шипы»,,,
evModMeleeTerribleSpikesUniqueBundleDesc,items,Item,,,Open to receive one Quality 6 [FFB800]«Unique»[-] Terrible Spikes Mod.,Bundle description,,,,,,,,,Содержит [FFB800]«Уникальный»[-] Мод «Ужасные шипы» (Q6).,,,
evModMeleeClubBurningUniqueBundle,items,Item,,,[FFB800]«Unique»[-] Burning Shaft Mod,Bundle display name,,,,,,,,,[FFB800]«Уникальный»[-] Мод «Пылающий прут»,,,
evModMeleeClubBurningUniqueBundleDesc,items,Item,,,Open to receive one Quality 6 [FFB800]«Unique»[-] Burning Shaft Mod.,Bundle description,,,,,,,,,Содержит [FFB800]«Уникальный»[-] Мод «Пылающий прут» (Q6).,,,
evModMeleeElectroUniqueBundle,items,Item,,,[FFB800]«Unique»[-] Electro Mod,Bundle display name,,,,,,,,,[FFB800]«Уникальный»[-] Мод «Электро»,,,
evModMeleeElectroUniqueBundleDesc,items,Item,,,Open to receive one Quality 6 [FFB800]«Unique»[-] Electro Mod.,Bundle description,,,,,,,,,Содержит [FFB800]«Уникальный»[-] Мод «Электро» (Q6).,,,
evModSurgicalBladeUniqueBundle,items,Item,,,[FFB800]«Unique»[-] Surgical Blade Mod,Bundle display name,,,,,,,,,[FFB800]«Уникальный»[-] Мод «Хирургическое лезвие»,,,
evModSurgicalBladeUniqueBundleDesc,items,Item,,,Open to receive one Quality 6 [FFB800]«Unique»[-] Surgical Blade Mod.,Bundle description,,,,,,,,,Содержит [FFB800]«Уникальный»[-] Мод «Хирургическое лезвие» (Q6).,,,
evModIncreasedBatteryUniqueBundle,items,Item,,,[FFB800]«Unique»[-] Increased Battery Mod,Bundle display name,,,,,,,,,[FFB800]«Уникальный»[-] Мод «Увеличенная батарея»,,,
evModIncreasedBatteryUniqueBundleDesc,items,Item,,,Open to receive one Quality 6 [FFB800]«Unique»[-] Increased Battery Mod.,Bundle description,,,,,,,,,Содержит [FFB800]«Уникальный»[-] Мод «Увеличенная батарея» (Q6).,,,
evModReactorElectricUniqueBundle,items,Item,,,[FFB800]«Unique»[-] Advanced Electronics Mod,Bundle display name,,,,,,,,,[FFB800]«Уникальный»[-] Мод «Продвинутая электроника»,,,
evModReactorElectricUniqueBundleDesc,items,Item,,,Open to receive one Quality 6 [FFB800]«Unique»[-] Advanced Electronics Mod.,Bundle description,,,,,,,,,Содержит [FFB800]«Уникальный»[-] Мод «Продвинутая электроника» (Q6).,,,
evModElongatedCoreUniqueBundle,items,Item,,,[FFB800]«Unique»[-] Elongated Core Mod,Bundle display name,,,,,,,,,[FFB800]«Уникальный»[-] Мод «Удлиненная сердцевина»,,,
evModElongatedCoreUniqueBundleDesc,items,Item,,,Open to receive one Quality 6 [FFB800]«Unique»[-] Elongated Core Mod.,Bundle description,,,,,,,,,Содержит [FFB800]«Уникальный»[-] Мод «Удлиненная сердцевина» (Q6).,,,
evModReinforcedPartsUniqueBundle,items,Item,,,[FFB800]«Unique»[-] Reinforced Parts Mod,Bundle display name,,,,,,,,,[FFB800]«Уникальный»[-] Мод «Усиленные части»,,,
evModReinforcedPartsUniqueBundleDesc,items,Item,,,Open to receive one Quality 6 [FFB800]«Unique»[-] Reinforced Parts Mod.,Bundle description,,,,,,,,,Содержит [FFB800]«Уникальный»[-] Мод «Усиленные части» (Q6).,,,
evModLuckyMiningUniqueBundle,items,Item,,,[FFB800]«Unique»[-] Lucky Mining Mod,Bundle display name,,,,,,,,,[FFB800]«Уникальный»[-] Мод «Удачная добыча»,,,
evModLuckyMiningUniqueBundleDesc,items,Item,,,Open to receive one Quality 6 [FFB800]«Unique»[-] Lucky Mining Mod.,Bundle description,,,,,,,,,Содержит [FFB800]«Уникальный»[-] Мод «Удачная добыча» (Q6).,,,
